実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2011暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2011) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
7- 9.,"483,547.7 ","278,031.0 ","272,659.6 ","227,182.2 ","20,193.4 ","71,508.2 ","2,055.9 ","91,964.9 ","30,891.0 ",-68.2 ,"-8,073.2 ","59,458.9 ","67,532.1 ","-2,955.4 ",,"18,422.3 ","501,970.0 ","9,725.3 ","13,276.9 ","3,551.6 ","511,695.3 ",,"494,371.9 ","371,768.2 ","122,605.8 ",,"122,016.3 ",,"481,257.0 ",,,
10-12.,"482,570.3 ","276,860.2 ","271,468.3 ","225,860.1 ","20,072.3 ","72,989.6 ","1,838.3 ","91,897.3 ","30,482.4 ",42.3 ,"-9,228.3 ","60,255.9 ","69,484.1 ","-2,383.8 ",,"18,866.8 ","501,437.2 ","10,134.8 ","13,873.5 ","3,738.7 ","511,571.9 ",,"494,027.4 ","371,797.1 ","122,223.6 ",,"123,052.6 ",,"480,398.9 ",,,
2005/ 1- 3.,"484,935.1 ","277,814.1 ","272,373.5 ","226,646.9 ","19,917.2 ","75,325.8 ","1,174.0 ","92,795.6 ","29,837.4 ",118.8 ,"-9,533.1 ","59,642.3 ","69,175.4 ","-2,514.8 ",,"17,886.2 ","502,821.3 ","9,715.7 ","14,043.3 ","4,327.6 ","512,537.1 ",,"496,944.4 ","374,359.2 ","122,568.9 ",,"124,697.9 ",,"483,300.9 ",,,
4- 6.,"488,151.4 ","279,068.2 ","273,553.8 ","227,681.8 ","19,627.6 ","77,950.7 ","1,250.3 ","92,425.2 ","27,978.3 ",-25.1 ,"-8,170.3 ","62,202.6 ","70,372.8 ","-1,953.7 ",,"16,081.2 ","504,232.6 ","10,818.8 ","15,407.6 ","4,588.8 ","515,051.4 ",,"498,471.8 ","378,076.9 ","120,307.8 ",,"125,361.7 ",,"486,540.7 ",,,
7- 9.,"492,837.7 ","281,781.6 ","276,206.3 ","230,160.3 ","20,008.4 ","79,430.2 ",758.4 ,"92,255.3 ","28,412.2 ",30.0 ,"-8,258.3 ","64,168.3 ","72,426.6 ","-1,580.0 ",,"14,842.6 ","507,680.3 ","11,634.6 ","16,177.8 ","4,543.3 ","519,314.9 ",,"502,888.6 ","382,189.5 ","120,591.3 ",,"127,653.6 ",,"491,626.9 ",,,
10-12.,"493,727.8 ","281,789.9 ","276,177.7 ","229,983.1 ","20,246.9 ","78,206.9 ",413.3 ,"92,669.6 ","27,808.2 ",7.4 ,"-6,051.0 ","66,432.9 ","72,483.8 ","-1,363.5 ",,"13,812.0 ","507,539.8 ","12,416.9 ","17,579.6 ","5,162.7 ","519,956.7 ",,"501,368.8 ","380,854.9 ","120,413.1 ",,"126,041.8 ",,"492,843.8 ",,,
2006/ 1- 3.,"494,638.9 ","283,078.0 ","277,459.1 ","231,141.6 ","20,113.6 ","77,686.1 ",-319.6 ,"92,371.3 ","28,578.7 ",58.8 ,"-5,849.1 ","67,920.6 ","73,769.7 ","-1,078.9 ",,"11,917.4 ","506,556.3 ","13,115.9 ","18,713.2 ","5,597.3 ","519,672.2 ",,"501,787.1 ","380,799.2 ","120,897.3 ",,"126,118.7 ",,"494,391.0 ",,,
4- 6.,"495,843.4 ","282,895.6 ","277,247.1 ","230,782.9 ","19,979.2 ","79,280.4 ",35.0 ,"92,702.6 ","27,454.0 ",-58.9 ,"-5,662.6 ","69,071.7 ","74,734.3 ",-781.8 ,,"11,815.0 ","507,658.3 ","12,900.7 ","18,916.7 ","6,016.0 ","520,559.1 ",,"502,593.4 ","382,437.5 ","120,043.9 ",,"126,545.8 ",,"495,365.8 ",,,
7- 9.,"494,957.3 ","280,885.5 ","275,198.5 ","228,594.8 ","20,108.6 ","79,391.8 ",724.7 ,"92,710.6 ","25,944.5 ",47.1 ,"-4,271.1 ","70,382.8 ","74,653.9 ",-584.5 ,,"10,785.7 ","505,743.0 ","13,623.6 ","19,690.0 ","6,066.4 ","519,366.6 ",,"500,113.7 ","381,310.0 ","118,676.5 ",,"125,333.6 ",,"493,767.5 ",,,
10-12.,"501,443.4 ","284,897.1 ","279,211.1 ","232,426.8 ","20,216.4 ","80,976.1 ",608.3 ,"92,579.8 ","26,367.2 ",-23.9 ,"-3,540.8 ","71,167.9 ","74,708.7 ",-636.9 ,,"11,457.8 ","512,901.1 ","14,429.9 ","21,186.3 ","6,756.4 ","527,331.0 ",,"505,975.3 ","386,930.5 ","118,890.8 ",,"127,465.3 ",,"500,406.7 ",,,
2007/ 1- 3.,"505,110.9 ","285,392.5 ","279,747.6 ","232,796.7 ","19,959.8 ","81,254.4 ","2,333.7 ","93,075.2 ","26,116.3 ",-104.6 ,"-2,486.2 ","72,880.8 ","75,366.9 ",-430.0 ,,"11,142.9 ","516,253.9 ","15,483.4 ","22,625.1 ","7,141.6 ","531,737.3 ",,"508,369.9 ","389,141.6 ","119,064.2 ",,"127,261.6 ",,"502,504.1 ",,,
4- 6.,"505,678.7 ","287,218.5 ","281,621.6 ","234,516.1 ","19,611.5 ","80,395.2 ","1,043.5 ","93,754.2 ","25,489.4 ",127.2 ,"-1,861.4 ","74,579.0 ","76,440.4 ",-99.4 ,,"10,566.6 ","516,245.3 ","16,007.5 ","22,909.3 ","6,901.9 ","532,252.7 ",,"508,023.0 ","388,524.3 ","119,341.8 ",,"125,441.3 ",,"504,084.9 ",,,
